date,Category,net_worth,Assets,Real estate,Consumer durables,Corporate equities and mutual fund shares,Pension entitlements,Private businesses,Other assets,Liabilities,Home mortgages,Consumer credit,Other liabilities
1989:Q3,Top1,4812970,4930857,602000,358289,875850,411971,1331052,1351694,117887,72321,24865,20701
1989:Q3,Next9,7606896,8107993,2059014,421923,812184,1803773,1030331,1980768,501096,391379,56622,53095
1989:Q3,Next40,7251276,8822500,3420651,757433,341047,2072942,567721,1662707,1571224,1170705,364820,35699
1989:Q3,Bottom50,760013,1702381,810287,358705,22213,197088,48115,265974,942368,576286,337901,28181
1989:Q4,Top1,4930413,5051027,642303,359915,899897,430318,1337667,1380928,120615,74428,23050,23137
1989:Q4,Next9,7735208,8249166,2088436,420801,831750,1841310,1051049,2015821,513958,402244,59938,51776
1989:Q4,Next40,7414542,9010253,3466633,774888,358002,2142451,566712,1701567,1595711,1189719,371117,34875
1989:Q4,Bottom50,735623,1712072,796945,370171,23902,200042,49090,271922,976449,593724,355180,27545
1990:Q1,Top1,4922624,5048000,670353,351609,837372,435669,1351146,1401851,125377,77697,23050,24630
1990:Q1,Next9,7745037,8282386,2091459,434292,785755,1879186,1054290,2037404,537349,423966,59845,53538
1990:Q1,Next40,7526586,9135430,3511594,798051,347369,2180265,569003,1729148,1608843,1215557,357143,36143
1990:Q1,Bottom50,759617,1757112,824727,383177,24087,198080,49010,278031,997496,617692,352283,27521
1990:Q2,Top1,5022638,5151057,700429,352836,876391,453387,1360153,1407862,128419,80560,21777,26082
1990:Q2,Next9,7813506,8372312,2104702,432236,806786,1924416,1052775,2051397,558806,444216,61716,52874
1990:Q2,Next40,7603094,9229770,3520686,813653,354911,2219463,570779,1750278,1626676,1235744,355028,35904
1990:Q2,Bottom50,743811,1765732,811051,393786,26006,202565,48354,283970,1021922,634892,360192,26838
1990:Q3,Top1,4889517,5020572,712095,339231,699934,448309,1369554,1451449,131055,82840,20361,27854
1990:Q3,Next9,7762265,8331786,2094608,445535,679142,1967195,1064117,2081189,569522,457427,64146,47949
1990:Q3,Next40,7609035,9252615,3518583,830790,314511,2242841,568201,1777690,1643581,1254659,355851,33071
1990:Q3,Bottom50,770133,1819162,860952,400690,24077,193118,49119,291206,1049028,651811,371944,25273
1990:Q4,Top1,5038710,5172320,724573,331620,794514,463392,1363047,1495174,133610,84452,19334,29824
1990:Q4,Next9,7900917,8478688,2069281,453970,752953,1989867,1090268,2122349,577771,461717,66369,49685
1990:Q4,Next40,7735927,9398076,3503400,844939,355401,2318119,557339,1818879,1662149,1273095,355235,33819
1990:Q4,Bottom50,776417,1855046,873874,408591,27228,198681,52318,294353,1078629,669991,383453,25185
1991:Q1,Top1,5231159,5368844,748581,330899,934180,490395,1361286,1503503,137685,86058,19763,31864
1991:Q1,Next9,8052299,8635044,2083997,455108,861338,1988807,1104559,2141234,582745,466927,65727,50091
1991:Q1,Next40,7920747,9583902,3498179,861480,413499,2406913,552648,1851183,1663155,1289987,338745,34423
1991:Q1,Bottom50,804829,1894021,882091,420342,31223,209943,54690,295732,1089192,686180,377971,25041
1991:Q2,Top1,5241100,5381618,766894,323239,925707,520570,1353347,1491862,140518,88903,18859,32756
1991:Q2,Next9,8034148,8636859,2086653,459480,851741,2009891,1101804,2127290,602711,486565,66981,49165
1991:Q2,Next40,7953353,9630855,3491404,874252,414560,2449707,550611,1850321,1677502,1310625,333037,33840
1991:Q2,Bottom50,822667,1933159,906263,426736,32492,214065,54477,299127,1110492,704020,382429,24043
1991:Q3,Top1,5342251,5483297,778769,309598,1001814,557947,1351439,1483730,141046,90851,17006,33189
1991:Q3,Next9,8043293,8672080,2067553,473499,903208,2024326,1077688,2125807,628787,505544,68714,54529
1991:Q3,Next40,8065655,9748102,3489752,887589,441004,2509873,554514,1865370,1682447,1315459,329709,37279
1991:Q3,Bottom50,880574,1994083,947602,432757,35375,222647,53413,302289,1113509,702114,387072,24323
1991:Q4,Top1,5596058,5738729,795663,302070,1209639,578540,1352843,1499974,142671,93653,15033,33985
1991:Q4,Next9,8206565,8866484,2085672,478094,1050311,2045599,1058149,2148659,659919,527847,71344,60728
1991:Q4,Next40,8212073,9916018,3478640,898477,509388,2593678,559729,1876106,1703945,1331964,330953,41028
1991:Q4,Bottom50,918098,2055221,989138,438748,40589,230022,53109,303615,1137123,713891,398250,24982
1992:Q1,Top1,5581923,5728314,833909,297019,1174607,569047,1360960,1492772,146391,96657,13712,36022
1992:Q1,Next9,8205778,8894851,2108310,476406,1026294,2113985,1057363,2112492,689073,560145,71319,57609
1992:Q1,Next40,8308392,10005447,3516033,912296,509893,2647236,558047,1861942,1697055,1339303,317322,40430
1992:Q1,Bottom50,932493,2058983,987375,446374,41552,224745,53936,305001,1126490,711616,391000,23874
1992:Q2,Top1,5576607,5724468,862297,290359,1176685,578294,1348181,1468652,147861,99112,11549,37200
1992:Q2,Next9,8213332,8932551,2104172,478722,1022261,2181821,1052835,2092741,719219,585231,73113,60875
1992:Q2,Next40,8387578,10089596,3529024,928251,513232,2703375,552786,1862928,1702018,1346116,312944,42958
1992:Q2,Bottom50,942230,2071130,983041,455747,43230,225345,54297,309469,1128900,710237,394726,23937
1992:Q3,Top1,5651856,5802229,872814,271774,1236480,590590,1358611,1471960,150373,101678,9982,38713
1992:Q3,Next9,8307719,9046038,2103430,496670,1061420,2244787,1046367,2093364,738319,602527,75417,60375
1992:Q3,Next40,8505245,10224994,3532901,942062,536860,2777775,553605,1881791,1719748,1365215,311723,42810
1992:Q3,Bottom50,1003662,2157551,1054843,461037,45947,227423,54724,313577,1153889,725907,404811,23171
1992:Q4,Top1,5904186,6059024,872535,278738,1439610,569905,1378734,1519503,154838,105784,10050,39004
1992:Q4,Next9,8470663,9210043,2105158,496867,1179662,2341973,1012171,2074212,739380,606493,76022,56865
1992:Q4,Next40,8694380,10429685,3586281,945775,583690,2864071,563152,1886716,1735305,1373336,318831,43138
1992:Q4,Bottom50,998742,2200409,1079008,471874,49746,230285,53465,316031,1201668,754740,419866,27062
1993:Q1,Top1,6126274,6285716,888918,303068,1520702,593016,1412701,1567311,159442,108865,11805,38772
1993:Q1,Next9,8521135,9257239,2125899,470869,1211085,2384396,1016303,2048688,736105,604877,73222,58006
1993:Q1,Next40,8781074,10505161,3619340,947495,593949,2925707,558683,1859987,1724087,1369871,308048,46168
1993:Q1,Bottom50,954364,2171028,1019898,484968,51479,241813,55462,317408,1216664,770575,414186,31903
1993:Q2,Top1,6231652,6396509,881941,307008,1566896,590481,1450845,1599338,164857,113155,12780,38922
1993:Q2,Next9,8550513,9285647,2131737,475948,1223905,2437477,1002826,2013753,735134,608344,72695,54095
1993:Q2,Next40,8880539,10618069,3663526,955847,600877,2980679,565274,1851866,1737530,1381951,309565,46014
1993:Q2,Bottom50,974591,2238208,1066700,497449,52610,246109,55119,320221,1263617,804378,423623,35616
1993:Q3,Top1,6395951,6564903,872390,309112,1669129,591079,1484544,1638649,168952,117058,13549,38345
1993:Q3,Next9,8637743,9372323,2130419,484165,1270644,2495933,1002444,1988719,734580,604519,73112,56949
1993:Q3,Next40,8986046,10746333,3708982,963625,617768,3038314,565460,1852184,1760287,1394774,316286,49227
1993:Q3,Bottom50,994231,2316327,1120342,508977,54714,252265,55971,324059,1322097,841665,439721,40711
1993:Q4,Top1,6592545,6764031,873461,318127,1772161,576834,1521591,1701857,171486,120934,12716,37836
1993:Q4,Next9,8738676,9476860,2143366,484358,1321706,2551414,1005185,1970830,738183,605015,75396,57772
1993:Q4,Next40,9115566,10901994,3760782,975092,639256,3091856,564972,1870035,1786428,1402340,332476,51612
1993:Q4,Bottom50,983792,2365576,1143915,524500,56829,255788,57375,327169,1381784,870888,465581,45315
1994:Q1,Top1,6704622,6881903,884242,333893,1701104,568027,1575966,1818670,177281,124234,14564,38483
1994:Q1,Next9,8774708,9500549,2167818,470662,1253902,2611746,1012634,1983787,725841,597666,73644,54531
1994:Q1,Next40,9145443,10932791,3806828,983108,612660,3122502,563350,1844342,1787348,1407537,327617,52194
1994:Q1,Bottom50,947099,2364879,1125127,538373,55984,255949,58620,330827,1417780,900032,468051,49697
1994:Q2,Top1,6845724,7027157,886754,342137,1690099,586425,1637284,1884459,181433,128391,14010,39032
1994:Q2,Next9,8750480,9479439,2176306,470896,1212350,2665032,1007022,1947832,728958,602233,75182,51543
1994:Q2,Next40,9195855,11004712,3864202,993932,585785,3143065,568030,1849698,1808857,1415576,339962,53319
1994:Q2,Bottom50,939131,2411178,1142906,552583,56185,263863,57532,338109,1472048,928422,489426,54200
1994:Q3,Top1,6993113,7178310,878265,344915,1748021,593908,1667893,1945308,185197,132521,13239,39437
