date,Category,Before_Tax_Income,net_median_worth,Assets,Financial_Assets,Transaction_Accounts,Certificates_of_Deposit,Savings_Bonds,Directly_Held_Bonds,Directly_Held_Stocks,Pooled_Investment_Funds,Cash_Value_Life_Insurance,Other_Managed_Assets,Retirement_Accounts,Other_Financial_Assets,Stock_Holdings,Nonfinancial_Assets,Primary_Residence,Owned_Vehicles,Other_Residential_Real_Estate,Net_Equity_in_Nonres_Real_Estate,Business_Equity,Other_Non_Financial_Assets,Unrealized_Capital_Gains,Debt,Home_Secured_Debt,Other_Res_Real_Estate_Debt,Installment_Loans,Other_Lines_of_Credit,Credit_Card_Balances,Other_Debt,Mortgages_Home_Equity_Loans,Home_Equity_Lines_of_Credit,Vehicle_Installment_Loans,Education_Installment_Loans,Other_Installment_Loans
1989,All families,51.897699257,93.60013676999999,162.09968438,23.071856917,4.1768016833,23.86743819,1.1933719095,55.690689111,15.91162546,25.856391373,5.9668595476,55.690689111,21.878485008,5.9668595476,17.900578643,133.25986323,139.22672278,13.922672278,99.437714361,39.77906365099999,99.44765912700001,15.91162546,61.657548659,29.834297738,63.646501841,51.71278274599999,9.944765912700001,3.9779063651,1.7900578643,3.9779063651,61.657548659,37.790110468,11.933719095,5.9668595476,2.6055286691
1992,All families,47.636155574,88.84903073300001,150.16737589,20.791030733,4.111725768299999,19.664775414,1.0726241135,53.631205674,14.301654846,28.603309693,5.541891253,35.754137116,25.027895981,4.6480378251,19.664775414,123.70931442,143.01654846,12.156406619,89.38534279,53.631205674,71.50827423199999,12.513947991,48.268085106,30.855820331,77.765248227,44.692671395,8.277082742299999,3.5754137116,1.7877068558,4.469267139499999,73.29598108699999,21.45248227,9.474846335700001,5.8994326241,1.9664775414
1995,All families,51.285930163,96.48644591599999,169.93633554,26.041324503,3.5055629139,16.693156733,1.6693156733,48.74401766,15.02384106,33.386313466,8.346578366399999,50.07947019900001,28.378366446,5.0079470199,24.205077263,138.72013245,148.56909492,16.526225166,83.465783664,53.418101545,50.07947019900001,16.693156733,43.402207506,36.22415011,85.135099338,50.07947019900001,10.099359823,5.8426048565,2.5039735099,3.3386313466,85.135099338,20.031788079,11.351346578,6.510331125800001,2.4038145695
1998,All families,52.605112054,112.76942596,193.92566556,35.513718802,4.749841930100001,23.591930116,1.5727953411,70.775790349,28.31031614,39.31988352699999,11.48140599,50.329450915,37.747088186,4.7183860233,39.31988352699999,153.81938436,157.27953411,17.300748752,102.23169717,62.911813644,78.63976705500001,15.727953411,48.756655574,50.958569052,97.513311148,64.48460898499999,13.761959235,3.9319883527,2.6737520799,4.7183860233,97.513311148,20.446339434,13.211480865,11.009567388,2.6737520799
2001,All families,57.928617646,125.27270435,214.03521772,40.871772345,5.6902750191,21.663483575,1.4442322383,64.99045072600001,28.884644767,50.54812834200001,14.442322383,101.09625668,42.460427807,6.4990450726,50.54812834200001,164.35362872,177.64056532,19.51157754,115.53857907,71.48949579800001,101.09625668,17.33078686,57.769289534,55.891787624,101.09625668,57.769289534,14.009052712,5.6325057296,2.7440412529,4.332696715,103.98472116,21.663483575,13.286936593,11.553857907,2.8884644767
2004,All families,58.477001618,126.21409107,234.80430262,31.600971674,5.151595554,20.335245608,1.3556830405,88.11939763399999,20.335245608,55.583004661,8.1340982431,61.005736823,47.720043026,5.4227321621,44.568079957,200.23438508,216.90928648,18.979562567,135.56830405,81.340982431,101.67622804,20.335245608,73.34245249199999,74.96927214099999,128.78988885,117.94442452,15.915718896,4.0670491215,2.9147185371,5.4227321621,128.78988885,29.825026891,14.912513446,12.472283973,3.3892076013
2007,All families,58.393210947,149.36369572,273.69354228,35.551028404,4.962331048,24.688214169,1.2344107085,98.75285667599999,20.984982044,69.126999674,9.8752856676,86.40874959199999,55.548481881,7.4064642507,41.969964087,218.98445968,246.88214169,19.133365981,185.16160627,89.494776363,113.56578518,17.281749918,92.58080313400001,83.075840679,132.0819458,123.44107085,16.04733921,4.6907606921,3.7032321254,6.1720535423,134.55076722,29.625857003,14.245099576,14.812928501,3.5797910545
2010,All families,53.895905472,90.725148021,219.62555313,25.332346525,4.1238703646,23.564973512,1.1782486756,161.42006856,23.564973512,94.25989404800001,8.601215331900001,82.47740729200001,51.842941726,5.891243378,34.169211592,181.68594578,200.30227485,17.673730134,141.38984107,76.58616391400001,91.90339669700001,17.673730134,43.596379246,83.184356497,128.42910564,114.29012153,14.96375818,7.0694920536,3.0634465566,5.3021190402,128.42910564,30.634465566,11.782486756,15.317232783,4.006045497
2013,All families,51.264211874,89.391054313,195.18877142,23.336116759,4.5024978217,17.570723207,1.0981702004,104.1394801,29.650595411,87.85361603299999,8.7853616033,109.81702004,64.79204182399999,4.9417659018,39.314493175,162.52918966,186.68893407,17.570723207,135.07493465,65.89021202399999,74.12648852699999,15.374382806,36.239616613,66.329480105,126.28957305,98.83531803700001,16.362735986,4.8319488818,2.5257914609,4.3926808016,127.38774325,27.45425501,13.178042405,18.668893407,3.6239616613
2016,All families,56.019082517,103.47496203,201.54697609,24.99395218,4.786075949400001,21.271448664,1.0635724332,106.35724332,26.58931083,121.24725738,9.040365682100001,116.99296765,63.814345992,5.849648382600001,42.542897328,169.32073136,196.76090014,18.080731364,159.53586498,69.132208158,84.022222222,15.953586498,45.733614627,63.814345992,118.05654008,106.35724332,18.080731364,3.1907172996,2.4462165963,5.317862166,121.24725738,32.970745429,13.826441632,20.207876231,3.6161462729
2019,All families,59.050838291,121.76,227.5,26,5.3,25,.8,121,25,110,9,110,65,4.5,40,194.28,225,17,160,70,89,15,54.3,65,135,112,18,2,2.7,5,140,24,13,22,3.8
