DATE,TOTALSL
2000-01-01,1538.52018
2000-02-01,1549.18529
2000-03-01,1561.45069
2000-04-01,1570.52774
2000-05-01,1583.50792
2000-06-01,1609.54804
2000-07-01,1629.75144
2000-08-01,1651.6154
2000-09-01,1669.00081
2000-10-01,1684.59932
2000-11-01,1700.94454
2000-12-01,1716.96972
2001-01-01,1729.85168
2001-02-01,1748.70202
2001-03-01,1760.54184
2001-04-01,1773.09833
2001-05-01,1781.17746
2001-06-01,1792.36809
2001-07-01,1797.35057
2001-08-01,1806.35904
2001-09-01,1814.25238
2001-10-01,1829.84026
2001-11-01,1857.84279
2001-12-01,1867.85287
2002-01-01,1867.41869
2002-02-01,1881.90537
2002-03-01,1894.69033
2002-04-01,1903.95799
2002-05-01,1914.61399
2002-06-01,1927.18098
2002-07-01,1939.2114
2002-08-01,1947.50009
2002-09-01,1950.65139
2002-10-01,1957.1513
2002-11-01,1965.17913
2002-12-01,1972.11221
2003-01-01,1982.56131
2003-02-01,1993.40569
2003-03-01,2001.20815
2003-04-01,2014.09978
2003-05-01,2027.50251
2003-06-01,2033.26841
2003-07-01,2040.06439
2003-08-01,2049.12434
2003-09-01,2057.09079
2003-10-01,2065.4951
2003-11-01,2066.40009
2003-12-01,2077.36069
2004-01-01,2088.24304
2004-02-01,2095.34036
2004-03-01,2109.72032
2004-04-01,2112.71615
2004-05-01,2120.83915
2004-06-01,2127.98941
2004-07-01,2137.09298
2004-08-01,2143.43512
2004-09-01,2160.1483
2004-10-01,2176.71934
2004-11-01,2183.74635
2004-12-01,2192.24617
2005-01-01,2196.77763
2005-02-01,2211.55871
2005-03-01,2220.19919
2005-04-01,2232.53538
2005-05-01,2232.67152
2005-06-01,2247.83343
2005-07-01,2257.23094
2005-08-01,2267.04488
2005-09-01,2271.63328
2005-10-01,2276.84314
2005-11-01,2283.66127
2005-12-01,2290.92813
2006-01-01,2367.47108
2006-02-01,2374.97732
2006-03-01,2385.80789
2006-04-01,2397.6806
2006-05-01,2407.16145
2006-06-01,2395.81318
2006-07-01,2403.09925
2006-08-01,2415.73203
2006-09-01,2426.81323
2006-10-01,2429.39986
2006-11-01,2440.74907
2006-12-01,2456.7157
2007-01-01,2457.94558
2007-02-01,2470.04992
2007-03-01,2484.43318
2007-04-01,2493.72977
2007-05-01,2510.01606
2007-06-01,2519.12104
2007-07-01,2533.66767
2007-08-01,2552.76707
2007-09-01,2566.99536
2007-10-01,2582.32603
2007-11-01,2597.6493
2007-12-01,2609.47653
2008-01-01,2619.42765
2008-02-01,2634.49642
2008-03-01,2645.60364
2008-04-01,2654.24323
2008-05-01,2660.19315
2008-06-01,2662.40952
2008-07-01,2665.32126
2008-08-01,2662.23778
2008-09-01,2657.38913
2008-10-01,2660.7295
2008-11-01,2651.48139
2008-12-01,2643.78896
2009-01-01,2647.02886
2009-02-01,2638.53274
2009-03-01,2622.82785
2009-04-01,2615.97301
2009-05-01,2610.01078
2009-06-01,2591.47541
2009-07-01,2590.85498
2009-08-01,2582.12601
2009-09-01,2576.59439
2009-10-01,2563.42273
2009-11-01,2551.56929
2009-12-01,2555.01664
2010-01-01,2543.50802
2010-02-01,2530.02428
2010-03-01,2536.55195
2010-04-01,2532.76479
2010-05-01,2521.68794
2010-06-01,2518.41641
2010-07-01,2521.1048
2010-08-01,2520.42213
2010-09-01,2522.09423
2010-10-01,2530.106
2010-11-01,2531.23226
2010-12-01,2646.81126
2011-01-01,2657.43318
2011-02-01,2663.84422
2011-03-01,2672.09243
2011-04-01,2680.02274
2011-05-01,2684.01872
2011-06-01,2693.14827
2011-07-01,2717.57887
2011-08-01,2709.21706
2011-09-01,2720.19957
2011-10-01,2728.07785
2011-11-01,2746.88423
2011-12-01,2756.39285
2012-01-01,2769.16868
2012-02-01,2775.77002
2012-03-01,2789.48097
2012-04-01,2802.67836
2012-05-01,2818.89837
2012-06-01,2830.41125
2012-07-01,2840.23177
2012-08-01,2857.85415
2012-09-01,2868.11915
2012-10-01,2885.17413
2012-11-01,2902.74684
2012-12-01,2913.22902
2013-01-01,2930.12671
2013-02-01,2949.01125
2013-03-01,2959.65372
2013-04-01,2971.87024
2013-05-01,2986.72102
2013-06-01,3000.22192
2013-07-01,3014.79876
2013-08-01,3030.18051
2013-09-01,3047.54264
2013-10-01,3064.60557
2013-11-01,3076.46802
2013-12-01,3090.92478
2014-01-01,3109.81087
2014-02-01,3126.1764
2014-03-01,3144.6051
2014-04-01,3168.76937
2014-05-01,3186.75967
2014-06-01,3204.67424
2014-07-01,3226.76962
2014-08-01,3242.93009
2014-09-01,3259.8839
2014-10-01,3270.21124
2014-11-01,3284.43106
2014-12-01,3311.89308
2015-01-01,3304.77079
2015-02-01,3322.94148
2015-03-01,3345.93001
2015-04-01,3367.48052
2015-05-01,3384.2714
2015-06-01,3411.89681
2015-07-01,3430.13065
2015-08-01,3443.49291
2015-09-01,3470.36858
2015-10-01,3484.85504
2015-11-01,3502.07491
2015-12-01,3390.62932
2016-01-01,3408.50909
2016-02-01,3424.38914
2016-03-01,3450.7302
2016-04-01,3471.22135
2016-05-01,3489.46176
2016-06-01,3508.33914
2016-07-01,3524.85077
2016-08-01,3547.88796
2016-09-01,3567.07185
2016-10-01,3584.42698
2016-11-01,3607.3098
2016-12-01,3620.76016
2017-01-01,3636.03578
2017-02-01,3654.35965
2017-03-01,3669.08535
2017-04-01,3683.0396
2017-05-01,3698.67185
2017-06-01,3716.57311
2017-07-01,3731.0836
2017-08-01,3739.08172
2017-09-01,3750.20794
2017-10-01,3771.99893
2017-11-01,3801.30896
2017-12-01,3813.04628
2018-01-01,3824.9964
2018-02-01,3837.66554
2018-03-01,3850.03898
2018-04-01,3854.89189
2018-05-01,3876.49602
2018-06-01,3886.39603
2018-07-01,3911.62642
2018-08-01,3930.52768
2018-09-01,3947.19582
2018-10-01,3965.14266
2018-11-01,3985.18395
2018-12-01,3998.14675
2019-01-01,4015.59666
2019-02-01,4031.90057
2019-03-01,4044.18118
2019-04-01,4061.7561
2019-05-01,4076.5438
2019-06-01,4088.48123
2019-07-01,4110.782
2019-08-01,4125.4172
2019-09-01,4138.20441
2019-10-01,4151.11509
2019-11-01,4157.84367
2019-12-01,4180.68468
2020-01-01,4190.26984
2020-02-01,4209.62629
2020-03-01,4195.69468
2020-04-01,4131.68231
2020-05-01,4118.74611
2020-06-01,4137.28568
2020-07-01,4150.23647
2020-08-01,4141.46397
2020-09-01,4156.2229
2020-10-01,4160.55601
2020-11-01,4174.48491
2020-12-01,4184.2194
